merchant_id,month_end,industry,txn_count_30d,gmv_30d,decline_rate_30d,fraud_rate_30d,chargeback_rate_30d,sla_events_60d,sla_breach_rate_60d,default_next_60d,month,champ_score,challenger_score,rule_score,rule_reason,final_risk_score,alert_flag
985ca4a8-9505-4302-9dbb-7af5db57e174,2025-10-31,Marketplace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10,0.4891823804261759,0.48979527,0.0,,0.48979527,1
985ca4a8-9505-4302-9dbb-7af5db57e174,2025-11-30,Marketplace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,11,0.4891823804261759,0.48979527,0.0,,0.48979527,1
985ca4a8-9505-4302-9dbb-7af5db57e174,2025-12-31,Marketplace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12,0.4891823804261759,0.48979527,0.0,,0.48979527,1
e092d5a4-36da-4656-a0d6-98499d6f4128,2025-10-31,Retail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10,0.4891823804261759,0.48979527,0.0,,0.48979527,1
e092d5a4-36da-4656-a0d6-98499d6f4128,2025-11-30,Retail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,11,0.4891823804261759,0.48979527,0.0,,0.48979527,1
e092d5a4-36da-4656-a0d6-98499d6f4128,2025-12-31,Retail,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,12,0.6283937549740471,0.6157166,0.3,SLA Breach,0.6157166,1
06d2dcf1-1ed7-46ae-ba41-51163a767e2e,2025-10-31,Retail,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,10,0.5800632686623948,0.57225734,0.0,,0.57225734,1
06d2dcf1-1ed7-46ae-ba41-51163a767e2e,2025-11-30,Retail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,11,0.4891823804261759,0.48979527,0.0,,0.48979527,1
06d2dcf1-1ed7-46ae-ba41-51163a767e2e,2025-12-31,Retail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12,0.4891823804261759,0.48979527,0.0,,0.48979527,1
e6249bec-3e81-4a65-95d0-e8142548fe05,2025-10-31,Retail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10,0.4891823804261759,0.48979527,0.0,,0.48979527,1
e6249bec-3e81-4a65-95d0-e8142548fe05,2025-11-30,Retail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,11,0.4891823804261759,0.48979527,0.0,,0.48979527,1
